,airline,airport,state,lat,lon
0,US,CLT,NC,35.21,-80.94
47,US,BWI,MD,39.17,-76.66
170,US,IAH,TX,29.98,-95.34
404,US,LAX,CA,33.94,-118.4
592,US,DEN,CO,39.86,-104.67
701,US,GSO,NC,36.09,-79.93
704,US,TPA,FL,27.97,-82.53
737,DL,SLC,UT,40.78,-111.97
934,EV,EWR,NJ,40.69,-74.16
938,US,STL,MO,38.74,-90.37
1009,DL,DTW,MI,42.21,-83.35
1075,US,ATL,GA,33.63,-84.42
1388,US,MSY,LA,29.99,-90.25
1568,US,DCA,VA,38.85,-77.03
1669,US,PHX,AZ,33.43,-112.01
1917,US,PIT,PA,40.49,-80.23
2464,WN,BNA,TN,36.12,-86.67
2999,US,RSW,FL,26.53,-81.75
3707,WN,MDW,IL,41.78,-87.75
4157,US,LGA,NY,40.77,-73.87
4193,US,RDU,NC,35.87,-78.78
4974,US,ORD,IL,41.98,-87.9
5651,US,SEA,WA,47.45,-122.31
5728,US,SAN,CA,32.73,-117.18
6189,US,PWM,ME,43.64,-70.3
6220,US,LAS,NV,36.08,-115.15
6470,B6,MCO,FL,28.42,-81.3
6578,B6,JFK,NY,40.63,-73.77
6963,OO,GCC,WY,44.34,-105.53
7388,MQ,DFW,TX,32.89,-97.03
7760,DL,MSP,MN,44.88,-93.22
7761,WN,OAK,CA,37.72,-122.22
7892,OO,OTH,OR,43.41,-124.24
7960,AS,PSP,CA,33.82,-116.5
8083,OO,EUG,OR,44.12,-123.21
8513,F9,COS,CO,38.8,-104.7
8938,HA,OGG,HI,20.89,-156.43
10003,AS,SNA,CA,33.67,-117.86
12066,AS,HNL,HI,21.31,-157.92
12153,US,PDX,OR,45.58,-122.59
12202,WN,FLL,FL,26.07,-80.15
12679,VX,SFO,CA,37.61,-122.37
13296,AA,MIA,FL,25.79,-80.29
13817,US,BOS,MA,42.36,-71.0
14034,XE,CLE,OH,41.4,-81.85
14716,US,STT,VI,18.33,-64.97
15494,EV,OMA,NE,41.3,-95.89
15519,EV,MSN,WI,43.13,-89.33
15965,EV,TYS,TN,35.81,-83.99
16305,EV,PNS,FL,30.47,-87.18
17349,EV,SAT,TX,29.53,-98.46
17661,EV,EVV,IN,38.03,-87.53
17688,EV,PHL,PA,39.87,-75.24
18024,EV,DSM,IA,41.53,-93.66
18175,EV,JAN,MS,32.31,-90.07
18621,EV,CVG,KY,39.04,-84.66
18678,EV,VPS,FL,30.48,-86.52
18964,DL,MCI,MO,39.29,-94.71
19106,EV,MGM,AL,32.3,-86.39
19616,EV,FSM,AR,35.33,-94.36
19782,EV,OKC,OK,35.39,-97.6
19785,EV,MLU,LA,32.51,-92.03
20136,EV,SHV,LA,32.44,-93.82
20406,EV,SGF,MO,37.24,-93.38
20631,EV,LFT,LA,30.2,-91.98
20653,EV,LEX,KY,38.03,-84.6
21017,EV,AUS,TX,30.19,-97.67
21079,AA,SJU,PR,18.43,-66.0
21612,UA,IAD,VA,38.94,-77.46
22669,AA,BDL,CT,41.93,-72.68
22687,DL,MEM,TN,35.04,-89.97
23324,WN,PVD,RI,41.72,-71.42
26002,F9,TTN,NJ,40.27,-74.81
27775,FL,CMH,OH,39.99,-82.89
27963,FL,CRW,WV,38.37,-81.59
30652,FL,MDT,PA,40.19,-76.76
31311,B6,SJC,CA,37.36,-121.92
33440,FL,CAK,OH,40.91,-81.44
35645,B6,SRQ,FL,27.39,-82.55
37500,FL,PHF,VA,37.13,-76.49
43186,MQ,MKE,WI,42.94,-87.89
44334,AA,RNO,NV,39.49,-119.76
44651,MQ,MLI,IL,41.44,-90.5
46178,OO,TVC,MI,44.74,-85.58
46248,AA,TUL,OK,36.19,-95.88
47216,WN,SMF,CA,38.69,-121.59
48433,OO,MMH,CA,37.62,-118.83
53059,WN,HOU,TX,29.64,-95.27
54892,WN,MAF,TX,31.94,-102.2
55708,WN,GSP,SC,34.89,-82.21
55790,WN,ELP,TX,31.8,-106.37
56262,WN,IND,IN,39.71,-86.29
56284,WN,DAL,TX,32.84,-96.85
60339,WN,CHS,SC,32.89,-80.04
61742,WN,PBI,FL,26.68,-80.09
63007,OO,RKS,WY,41.59,-109.06
75113,AS,ONT,CA,34.05,-117.6
82448,US,LIH,HI,21.97,-159.33
83882,US,GEG,WA,47.62,-117.53
85108,WN,BUR,CA,34.2,-118.35
86418,WN,JAX,FL,30.49,-81.68
92808,XE,GJT,CO,39.12,-108.52
92884,EV,GRR,MI,42.88,-85.52
93065,OO,GFK,ND,47.94,-97.17
93863,EV,ICT,KS,37.65,-97.43
93864,OO,IDA,ID,43.51,-112.07
95547,UA,FAI,AK,64.81,-147.85
96087,EV,GUC,CO,38.53,-106.93
96774,OO,BIS,ND,46.77,-100.74
97188,OO,BHM,AL,33.56,-86.75
97273,OO,ASE,CO,39.22,-106.86
103802,MQ,MRY,CA,36.58,-121.84
105780,AA,EGE,CO,39.64,-106.91
105816,OO,HDN,CO,40.48,-107.21
112429,FL,BMI,IL,40.47,-88.91
112647,WN,ISP,NY,40.79,-73.1
114182,FL,FNT,MI,42.96,-83.74
114281,B6,BUF,NY,42.94,-78.73
114904,B6,HPN,NY,41.06,-73.7
120583,XE,LAN,MI,42.77,-84.58
121131,OO,LIT,AR,34.72,-92.22
122312,MQ,LSE,WI,43.87,-91.25
122400,MQ,HSV,AL,34.63,-86.77
123811,US,SYR,NY,43.11,-76.1
133806,OO,BZN,MT,45.77,-111.15
137554,UA,KOA,HI,19.73,-156.04
137869,OO,JAC,WY,43.6,-110.73
139677,EV,DHN,AL,31.32,-85.44
141767,EV,CHA,TN,35.03,-85.2
142291,EV,BQK,GA,31.25,-81.46
148537,OO,DLH,MN,46.84,-92.19
149386,EV,ORF,VA,36.89,-76.2
149562,EV,PLN,MI,45.57,-84.79
149565,EV,PIA,IL,40.66,-89.69
150991,EV,TRI,TN,36.47,-82.4
151762,EV,AVL,NC,35.43,-82.54
151815,EV,ALB,NY,42.74,-73.8
153072,EV,XNA,AR,36.28,-94.3
153792,OO,MBS,MI,43.53,-84.07
156613,DL,TUS,AZ,32.11,-110.94
156675,DL,STX,VI,17.7,-64.8
156892,EV,CAE,SC,33.93,-81.11
161210,EV,ILM,NC,34.27,-77.9
161240,EV,GNV,FL,29.69,-82.27
161850,EV,GRK,TX,31.06,-97.82
163080,US,BOI,ID,43.56,-116.22
163126,WN,ABQ,NM,35.04,-106.6
167715,YV,BFL,CA,35.43,-119.05
192682,XE,GRB,WI,44.48,-88.12
192900,MQ,FSD,SD,43.58,-96.74
194932,MQ,ART,NY,43.99,-76.02
198240,OO,PAH,KY,37.06,-88.77
202341,AS,JNU,AK,58.35,-134.57
202439,AS,WRG,AK,56.48,-132.36
202968,EV,LWB,WV,37.85,-80.39
211585,AS,BLI,WA,48.79,-122.53
215887,MQ,CMI,IL,40.03,-88.27
223121,MQ,RIC,VA,37.5,-77.31
227926,EV,ROC,NY,43.11,-77.67
228468,EV,SAV,GA,32.12,-81.2
230597,DL,EYW,FL,24.55,-81.75
242295,AS,ANC,AK,61.17,-149.99
247605,OO,AZO,MI,42.23,-85.55
247833,OO,ATW,WI,44.25,-88.51
247922,OO,APN,MI,45.07,-83.56
249590,OO,RST,MN,43.9,-92.5
251006,OO,ABR,SD,45.44,-98.42
252547,OO,CID,IA,41.88,-91.71
253061,OO,LNK,NE,40.85,-96.75
253257,OO,ISN,ND,48.17,-103.64
272206,DL,SDF,KY,38.17,-85.73
272207,EV,SBN,IN,41.7,-86.31
275885,EV,AGS,GA,33.37,-81.96
276654,FL,ACY,NJ,39.45,-74.57
277307,EV,ROA,VA,37.32,-79.97
284339,OO,CIC,CA,39.79,-121.85
288192,OO,LMT,OR,42.15,-121.73
288212,CO,ITO,HI,19.72,-155.04
289661,OO,RDM,OR,44.25,-121.15
300519,AS,GST,AK,58.42,-135.7
304695,B6,ACK,MA,41.25,-70.06
308598,XE,DAY,OH,39.9,-84.21
313633,EV,MHT,NH,42.93,-71.43
328444,EV,HOB,NM,32.68,-103.21
340970,F9,PIE,FL,27.91,-82.68
355796,AS,YAK,AK,59.5,-139.66
371745,EV,BTV,VT,44.47,-73.15
371797,UA,BQN,PR,18.49,-67.12
374244,CO,MTJ,CO,38.5,-107.89
379692,US,ABE,PA,40.65,-75.44
389597,OO,HIB,MN,47.38,-92.83
